AccountID,CustomerID,AccountType,Tenure,OpenDate,Status,LastUpdated
ACC0600,CUST0600,Fixed,6,2016-08-23,Active,2025-02-24 00:37:14.626165
ACC0601,CUST0601,Savings,1,2016-08-24,Inactive,2025-01-16 08:04:14.626180
ACC0602,CUST0602,Savings,4,2016-08-25,Inactive,2025-02-08 08:31:14.626199
ACC0603,CUST0603,Fixed,4,2016-08-26,Active,2025-02-04 08:20:14.626225
ACC0604,CUST0604,Fixed,1,2016-08-27,Inactive,2025-01-24 18:56:14.626243
ACC0605,CUST0605,Fixed,9,2016-08-28,Inactive,2025-02-25 13:25:14.626259
ACC0606,CUST0606,Fixed,4,2016-08-29,Active,2025-03-13 13:54:14.626274
ACC0607,CUST0607,Savings,7,2016-08-30,Active,2025-01-25 19:02:14.626291
ACC0608,CUST0608,Current,3,2016-08-31,Inactive,2025-04-15 14:21:14.626306
ACC0609,CUST0609,Savings,3,2016-09-01,Active,2025-03-31 23:02:14.626322
ACC0610,CUST0610,Current,8,2016-09-02,Inactive,2025-02-12 12:47:14.626337
ACC0611,CUST0611,Fixed,8,2016-09-03,Active,2025-02-17 03:26:14.626475
ACC0612,CUST0612,Current,1,2016-09-04,Inactive,2025-02-23 13:05:14.626504
ACC0613,CUST0613,Savings,2,2016-09-05,Inactive,2025-02-28 11:19:14.626521
ACC0614,CUST0614,Savings,8,2016-09-06,Inactive,2025-01-20 19:06:14.626536
ACC0615,CUST0615,Fixed,1,2016-09-07,Inactive,2025-02-27 11:58:14.626553
ACC0616,CUST0616,Savings,8,2016-09-08,Active,2025-02-17 18:11:14.626569
ACC0617,CUST0617,Fixed,8,2016-09-09,Active,2025-01-27 07:32:14.626592
ACC0618,CUST0618,Savings,2,2016-09-10,Inactive,2025-01-29 23:13:14.626611
ACC0619,CUST0619,Savings,4,2016-09-11,Inactive,2025-03-28 03:56:14.626627
ACC0620,CUST0620,Fixed,6,2016-09-12,Active,2025-01-18 18:26:14.626643
ACC0621,CUST0621,Current,9,2016-09-13,Active,2025-02-26 09:02:14.626658
ACC0622,CUST0622,Savings,8,2016-09-14,Inactive,2025-01-31 07:22:14.626674
ACC0623,CUST0623,Current,8,2016-09-15,Inactive,2025-01-26 17:45:14.626689
ACC0624,CUST0624,Savings,7,2016-09-16,Inactive,2025-02-03 10:09:14.626710
ACC0625,CUST0625,Savings,9,2016-09-17,Inactive,2025-03-21 05:59:14.626736
ACC0626,CUST0626,Savings,2,2016-09-18,Inactive,2025-01-15 14:36:14.626753
ACC0627,CUST0627,Savings,3,2016-09-19,Active,2025-03-18 14:29:14.626769
ACC0628,CUST0628,Current,8,2016-09-20,Inactive,2025-01-21 14:01:14.626784
ACC0629,CUST0629,Current,6,2016-09-21,Active,2025-02-18 00:03:14.626800
ACC0630,CUST0630,Savings,9,2016-09-22,Active,2025-01-19 01:52:14.626815
ACC0631,CUST0631,Savings,4,2016-09-23,Active,2025-03-24 07:28:14.626830
ACC0632,CUST0632,Current,8,2016-09-24,Inactive,2025-02-19 06:00:14.626850
ACC0633,CUST0633,Fixed,3,2016-09-25,Active,2025-03-26 16:00:14.626866
ACC0634,CUST0634,Fixed,3,2016-09-26,Active,2025-04-01 02:12:14.626882
ACC0635,CUST0635,Current,8,2016-09-27,Active,2025-02-13 17:54:14.626903
ACC0636,CUST0636,Savings,5,2016-09-28,Active,2025-03-08 03:09:14.626924
ACC0637,CUST0637,Savings,3,2016-09-29,Inactive,2025-03-10 23:03:14.626940
ACC0638,CUST0638,Fixed,1,2016-09-30,Inactive,2025-04-06 21:41:14.626955
ACC0639,CUST0639,Fixed,3,2016-10-01,Active,2025-04-07 23:13:14.626971
ACC0640,CUST0640,Current,9,2016-10-02,Active,2025-03-02 05:39:14.626989
ACC0641,CUST0641,Fixed,5,2016-10-03,Inactive,2025-02-20 07:22:14.627005
ACC0642,CUST0642,Current,2,2016-10-04,Inactive,2025-03-15 00:33:14.627021
ACC0643,CUST0643,Fixed,7,2016-10-05,Inactive,2025-02-07 05:05:14.627036
ACC0644,CUST0644,Fixed,2,2016-10-06,Active,2025-03-07 21:01:14.627051
ACC0645,CUST0645,Fixed,4,2016-10-07,Inactive,2025-04-10 23:38:14.627067
ACC0646,CUST0646,Savings,7,2016-10-08,Active,2025-03-08 15:21:14.627082
ACC0647,CUST0647,Savings,4,2016-10-09,Active,2025-03-06 20:49:14.627098
ACC0648,CUST0648,Savings,7,2016-10-10,Inactive,2025-02-15 14:42:14.627113
ACC0649,CUST0649,Fixed,7,2016-10-11,Active,2025-04-06 01:23:14.627128
ACC0650,CUST0650,Current,1,2016-10-12,Inactive,2025-03-15 10:17:14.627144
ACC0651,CUST0651,Current,6,2016-10-13,Active,2025-02-25 13:10:14.627160
ACC0652,CUST0652,Current,9,2016-10-14,Inactive,2025-04-03 12:14:14.627175
ACC0653,CUST0653,Current,2,2016-10-15,Active,2025-01-23 10:30:14.627190
ACC0654,CUST0654,Savings,3,2016-10-16,Active,2025-01-15 12:52:14.627206
ACC0655,CUST0655,Savings,5,2016-10-17,Inactive,2025-03-15 16:12:14.627221
ACC0656,CUST0656,Fixed,9,2016-10-18,Inactive,2025-04-15 09:57:14.627236
ACC0657,CUST0657,Fixed,4,2016-10-19,Inactive,2025-02-16 01:42:14.627252
ACC0658,CUST0658,Current,1,2016-10-20,Inactive,2025-04-02 01:29:14.627268
ACC0659,CUST0659,Savings,4,2016-10-21,Active,2025-02-27 12:03:14.627292
ACC0660,CUST0660,Current,6,2016-10-22,Inactive,2025-03-02 12:45:14.627314
ACC0661,CUST0661,Fixed,5,2016-10-23,Inactive,2025-01-24 01:53:14.627330
ACC0662,CUST0662,Fixed,1,2016-10-24,Active,2025-03-07 02:03:14.627345
ACC0663,CUST0663,Current,4,2016-10-25,Inactive,2025-03-21 14:55:14.627361
ACC0664,CUST0664,Fixed,6,2016-10-26,Inactive,2025-02-08 07:11:14.627376
ACC0665,CUST0665,Current,4,2016-10-27,Active,2025-03-06 09:02:14.627392
ACC0666,CUST0666,Savings,9,2016-10-28,Inactive,2025-02-06 22:51:14.627407
ACC0667,CUST0667,Current,5,2016-10-29,Inactive,2025-01-30 09:50:14.627422
ACC0668,CUST0668,Savings,8,2016-10-30,Inactive,2025-03-05 14:44:14.627438
ACC0669,CUST0669,Savings,9,2016-10-31,Inactive,2025-03-11 11:54:14.627453
ACC0670,CUST0670,Fixed,5,2016-11-01,Inactive,2025-04-09 20:26:14.627469
ACC0671,CUST0671,Fixed,6,2016-11-02,Inactive,2025-01-15 13:14:14.627484
ACC0672,CUST0672,Fixed,1,2016-11-03,Active,2025-01-25 23:32:14.627499
